"year_month","observed","trend","seasonal","deterministic","stochastic"
Dec 1996,-11.6,-7.16324499497176,-4.66222047854942,-11.8254654735212,0.225465473521174
Jan 1997,-10.8,-7.15926305854123,-5.3669902069672,-12.5262532655084,1.72625326550843
Feb 1997,-10.9,-7.15528112211071,-6.25726804646663,-13.4125491685773,2.51254916857735
Mar 1997,-9.9,-7.15129918568018,-5.04374868505731,-12.1950478707375,2.29504787073749
Apr 1997,-11,-7.14731724924966,-3.18580253842117,-10.3331197876708,-0.66688021232917
May 1997,-5.4,-7.14333531281914,1.80786357851545,-5.33547173430368,-0.0645282656963166
Jun 1997,-2.8,-7.1393533763886,4.76124306934305,-2.37811030704555,-0.421889692954446
Jul 1997,-1.8,-7.13537143995808,7.02414499897351,-0.111226440984569,-1.68877355901543
Aug 1997,0.7,-7.13138950352756,7.2674371566196,0.136047653092044,0.563952346907956
Sep 1997,0.8,-7.12740756709703,4.33100653700795,-2.79640103008907,3.59640103008907
Oct 1997,-5.6,-7.1234256306665,2.06194027954585,-5.06148535112066,-0.538514648879342
Nov 1997,-9.1,-7.11944369423598,-2.73841309245225,-9.85785678668823,0.757856786688231
Dec 1997,-12.7,-7.11546175780545,-4.72705465874007,-11.8425164165455,-0.857483583454478
Jan 1998,-11.8,-7.11147982137493,-5.38714887301137,-12.4986286943863,0.698628694386301
Feb 1998,-7.6,-7.10749788494441,-6.29165932278895,-13.3991572077334,5.79915720773335
Mar 1998,-11.6,-7.10351594851388,-5.01528202960737,-12.1187979781212,0.518797978121244
Apr 1998,-11.2,-7.09953401208335,-3.11796292436729,-10.2174969364506,-0.982503063549357
May 1998,-4.7,-7.09555207565283,1.81970734939484,-5.275844726258,0.575844726257996
Jun 1998,-1.7,-7.0915701392223,4.8401436331187,-2.2514265061036,0.5514265061036
Jul 1998,-0.1,-7.08758820279178,7.00759876492746,-0.079989437864314,-0.020010562135686
Aug 1998,1.2,-7.08360626636125,7.26116741661628,0.177561150255029,1.02243884974497
Sep 1998,-3.7,-7.07962432993072,4.32645827893275,-2.75316605099797,-0.94683394900203
Oct 1998,-6.9,-7.0756423935002,2.06233717644032,-5.01330521705988,-1.88669478294012
Nov 1998,-13.2,-7.07166045706968,-2.72949011971054,-9.80115057678022,-3.39884942321978
Dec 1998,-12.2,-7.06767852063915,-4.81465829519064,-11.8823368158298,-0.317663184170218
Jan 1999,-12.2,-7.06369658420862,-5.41208763227062,-12.4757842164792,0.275784216479245
Feb 1999,-15.6,-7.0597146477781,-6.33044094056212,-13.3901555883402,-2.20984441165977
Mar 1999,-11.9,-7.05573271134757,-4.99081596384408,-12.0465486751917,0.146548675191651
Apr 1999,-10.3,-7.05175077491705,-3.05357241047651,-10.1053231853936,-0.194676814606447
May 1999,-3.7,-7.04776883848653,1.82865350963468,-5.21911532885185,1.51911532885185
Jun 1999,-2.8,-7.04378690205599,4.9167120521703,-2.12707484988569,-0.672925150114305
Jul 1999,0.4,-7.03980496562547,6.98928585207286,-0.0505191135526122,0.450519113552612
Aug 1999,0.4,-7.03582302919495,7.25358668740897,0.217763658214018,0.182236341785982
Sep 1999,-1.2,-7.03184109276442,4.32105472125811,-2.7107863715063,1.5107863715063
Oct 1999,-4.8,-7.02785915633389,2.06216489496957,-4.96569426136432,0.165694261364324
Nov 1999,-11.2,-7.02387721990337,-2.72085020409986,-9.74472742400323,-1.45527257599677
Dec 1999,-13.3,-7.01989528347284,-4.90242421415669,-11.9223194976295,-1.37768050237048
